epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,317.456,0.27822,2.9872,1.06155,0.57601,0.79264,0.73131,0.70137,0.24512,1.3133,0.39772,0.000118953,0.000118953,0.000118953
1,317.766,0.27822,2.9872,1.06155,0.57601,0.79264,0.73131,0.70137,0.24512,1.3133,0.39772,0.000118953,0.000118953,0.000118953
2,615.986,0.13881,1.58328,0.94729,0.74746,0.81381,0.87884,0.85841,0.17081,0.78994,0.30877,0.000226174,0.000226174,0.000226174
2,616.198,0.13881,1.58328,0.94729,0.74746,0.81381,0.87884,0.85841,0.17081,0.78994,0.30877,0.000226174,0.000226174,0.000226174
3,913.306,0.1218,1.23038,0.93516,0.72661,0.9044,0.90554,0.83553,0.25561,0.77746,0.35521,0.000321615,0.000321615,0.000321615
3,913.37,0.1218,1.23038,0.93516,0.72661,0.9044,0.90554,0.83553,0.25561,0.77746,0.35521,0.000321615,0.000321615,0.000321615
4,1210.38,0.11209,1.02847,0.92881,0.89664,0.96329,0.95636,0.94416,0.22674,0.50968,0.28042,0.000303986,0.000303986,0.000303986
4,1210.41,0.11209,1.02847,0.92881,0.89664,0.96329,0.95636,0.94416,0.22674,0.50968,0.28042,0.000303986,0.000303986,0.000303986
5,1507.46,0.09532,0.88504,0.92135,0.96267,0.92203,0.97557,0.96939,0.17525,0.40519,0.26117,0.000286314,0.000286314,0.000286314
5,1507.48,0.09532,0.88504,0.92135,0.96267,0.92203,0.97557,0.96939,0.17525,0.40519,0.26117,0.000286314,0.000286314,0.000286314
6,1804.19,0.08668,0.78363,0.91235,0.96616,0.97334,0.98584,0.97372,0.25329,0.39801,0.31948,0.000268642,0.000268642,0.000268642
6,1804.22,0.08668,0.78363,0.91235,0.96616,0.97334,0.98584,0.97372,0.25329,0.39801,0.31948,0.000268642,0.000268642,0.000268642
7,2101.71,0.08425,0.72221,0.91591,0.94262,0.96909,0.98909,0.98423,0.20296,0.3454,0.27728,0.000250971,0.000250971,0.000250971
7,2101.72,0.08425,0.72221,0.91591,0.94262,0.96909,0.98909,0.98423,0.20296,0.3454,0.27728,0.000250971,0.000250971,0.000250971
8,2398.97,0.07798,0.65193,0.91015,0.97914,0.98337,0.99376,0.99343,0.17478,0.28109,0.24508,0.000233299,0.000233299,0.000233299
8,2398.99,0.07798,0.65193,0.91015,0.97914,0.98337,0.99376,0.99343,0.17478,0.28109,0.24508,0.000233299,0.000233299,0.000233299
9,2696.32,0.07435,0.60506,0.90924,0.98853,0.98713,0.99372,0.99302,0.1697,0.25209,0.24565,0.000215628,0.000215628,0.000215628
9,2696.36,0.07435,0.60506,0.90924,0.98853,0.98713,0.99372,0.99302,0.1697,0.25209,0.24565,0.000215628,0.000215628,0.000215628
10,2993.33,0.06999,0.56399,0.90913,0.98546,0.99085,0.99429,0.99348,0.15376,0.27588,0.2248,0.000197957,0.000197957,0.000197957
10,2993.35,0.06999,0.56399,0.90913,0.98546,0.99085,0.99429,0.99348,0.15376,0.27588,0.2248,0.000197957,0.000197957,0.000197957
11,3136.5,0.04747,0.27002,0.90734,0.99263,0.99254,0.99415,0.99415,0.18027,0.27449,0.24749,0.000180285,0.000180285,0.000180285
12,3279.32,0.03767,0.20646,0.90466,0.9893,0.99124,0.99429,0.99429,0.15168,0.20785,0.20768,0.000162613,0.000162613,0.000162613
13,3422.14,0.03402,0.16613,0.90297,0.991,0.98752,0.99442,0.99442,0.16526,0.27259,0.22566,0.000144942,0.000144942,0.000144942
14,3565,0.03043,0.13669,0.90135,0.98791,0.99125,0.99412,0.99405,0.16398,0.28517,0.22185,0.000127271,0.000127271,0.000127271
15,3707.76,0.03011,0.12131,0.90162,0.99335,0.98923,0.99451,0.99451,0.15707,0.24549,0.20512,0.000109599,0.000109599,0.000109599
16,3850.68,inf,0.11127,0.90093,0.99221,0.99368,0.99485,0.99482,0.17581,0.27035,0.23847,9.19275e-05,9.19275e-05,9.19275e-05
17,3993.24,0.02556,0.09384,0.90117,0.99548,0.99494,0.9946,0.9946,0.14532,0.23709,0.19407,7.4256e-05,7.4256e-05,7.4256e-05
18,4136.2,0.02181,0.07718,0.89902,0.99717,0.99298,0.99471,0.99471,0.11743,0.20877,0.16146,5.65845e-05,5.65845e-05,5.65845e-05
19,4278.84,0.0198,0.0723,0.89666,0.99524,0.99511,0.9948,0.9948,0.12033,0.20222,0.16056,3.8913e-05,3.8913e-05,3.8913e-05
20,4421.85,0.01738,0.06295,0.89542,0.99696,0.99715,0.99472,0.99472,0.12153,0.20096,0.16072,2.12415e-05,2.12415e-05,2.12415e-05
