epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,199.948,1.01464,1.17899,0.98685,0.57539,0.43452,0.43764,0.28957,0.80775,0.738,0.90321,0.00333,0.00333,0.00333
2,396.426,0.8966,0.75026,0.91988,0.6781,0.45631,0.48669,0.33872,0.6728,0.62928,0.86644,0.00660336,0.00660336,0.00660336
3,593.895,0.8806,0.69049,0.90998,0.65005,0.47275,0.50586,0.35593,0.65947,0.59053,0.86139,0.00981673,0.00981673,0.00981673
4,788.503,0.80891,0.61472,0.89424,0.69105,0.51047,0.54108,0.38777,0.60153,0.51216,0.84675,0.00973,0.00973,0.00973
5,984.271,0.7359,0.55246,0.87723,0.69842,0.52668,0.54384,0.39116,0.55893,0.47028,0.83426,0.00964,0.00964,0.00964
6,1179.26,0.6919,0.51794,0.86638,0.76813,0.53812,0.58808,0.42753,0.54188,0.4488,0.82626,0.00955,0.00955,0.00955
7,1372.87,0.66106,0.49502,0.85953,0.76048,0.53483,0.57651,0.42517,0.51424,0.43838,0.82134,0.00946,0.00946,0.00946
8,1566.06,0.63623,0.47807,0.8545,0.77518,0.54885,0.60145,0.44657,0.49923,0.42125,0.81686,0.00937,0.00937,0.00937
9,1759.91,0.61531,0.46335,0.8505,0.78895,0.55618,0.61246,0.45435,0.48148,0.40664,0.8132,0.00928,0.00928,0.00928
10,1953.63,0.59614,0.4513,0.84696,0.80452,0.55383,0.6139,0.46113,0.47389,0.4076,0.81051,0.00919,0.00919,0.00919
11,2148.53,0.58232,0.44163,0.84434,0.80485,0.55264,0.61849,0.46529,0.46589,0.39744,0.80921,0.0091,0.0091,0.0091
12,2342.77,0.57284,0.43413,0.84249,0.82752,0.56056,0.6341,0.48048,0.4513,0.3787,0.8065,0.00901,0.00901,0.00901
13,2537.74,0.56035,0.42597,0.84004,0.822,0.56415,0.63801,0.48536,0.44295,0.37759,0.80368,0.00892,0.00892,0.00892
14,2730.61,0.54935,0.41956,0.83846,0.80509,0.56718,0.63292,0.48403,0.43965,0.3716,0.80341,0.00883,0.00883,0.00883
15,2923.17,0.53978,0.41358,0.83591,0.82433,0.57389,0.64282,0.49384,0.42891,0.36165,0.80071,0.00874,0.00874,0.00874
16,3116.81,0.53224,0.40876,0.83503,0.82505,0.56932,0.64528,0.49917,0.42102,0.35608,0.79886,0.00865,0.00865,0.00865
17,3308.89,0.52418,0.40431,0.83332,0.82933,0.57599,0.65128,0.50535,0.41714,0.35133,0.79844,0.00856,0.00856,0.00856
18,3501.49,0.51844,0.39989,0.83166,0.83249,0.57744,0.65295,0.50877,0.41097,0.34559,0.79653,0.00847,0.00847,0.00847
19,3693.8,0.51212,0.39748,0.83106,0.83239,0.57911,0.65583,0.51401,0.40481,0.34302,0.79624,0.00838,0.00838,0.00838
20,3886.07,0.50612,0.39314,0.83073,0.83408,0.57383,0.65499,0.51497,0.4,0.34346,0.79491,0.00829,0.00829,0.00829
21,4078.58,0.49823,0.38804,0.82893,0.83725,0.58067,0.65908,0.51861,0.39157,0.3338,0.79289,0.0082,0.0082,0.0082
22,4272.22,0.49421,0.38649,0.82853,0.84075,0.5856,0.66329,0.5231,0.38573,0.33034,0.79228,0.00811,0.00811,0.00811
23,4464.05,0.48766,0.38193,0.82716,0.83876,0.58178,0.66515,0.52797,0.38363,0.32845,0.79171,0.00802,0.00802,0.00802
24,4656.46,0.48306,0.37887,0.82605,0.84133,0.58412,0.66903,0.53325,0.37656,0.32383,0.79041,0.00793,0.00793,0.00793
25,4848.99,0.48008,0.37655,0.82528,0.84621,0.58561,0.67023,0.53393,0.37375,0.32147,0.78938,0.00784,0.00784,0.00784
26,5041.38,0.47601,0.37482,0.82528,0.84573,0.58959,0.67376,0.53911,0.37204,0.31986,0.78919,0.00775,0.00775,0.00775
27,5233,0.47243,0.37248,0.82409,0.85334,0.58654,0.67568,0.54278,0.37008,0.31667,0.78854,0.00766,0.00766,0.00766
28,5425.79,0.46794,0.36943,0.82454,0.85702,0.5892,0.67167,0.53958,0.36621,0.31397,0.7882,0.00757,0.00757,0.00757
29,5619.17,0.46603,0.36798,0.82336,0.85712,0.58697,0.67541,0.54364,0.36485,0.3136,0.78675,0.00748,0.00748,0.00748
30,5811.23,0.46359,0.36718,0.82347,0.85534,0.59152,0.67803,0.54668,0.36111,0.31019,0.78649,0.00739,0.00739,0.00739
31,6003.08,0.46117,0.36498,0.82197,0.85562,0.59097,0.68109,0.54967,0.36076,0.30819,0.78591,0.0073,0.0073,0.0073
32,6195.76,0.45739,0.36226,0.82069,0.86114,0.59308,0.68285,0.55258,0.35766,0.30715,0.78554,0.00721,0.00721,0.00721
33,6388.4,0.45493,0.36126,0.82097,0.86067,0.5931,0.68213,0.55317,0.35635,0.30594,0.78503,0.00712,0.00712,0.00712
34,6581.64,0.45269,0.35928,0.82102,0.85779,0.59343,0.68291,0.55464,0.35343,0.30387,0.78467,0.00703,0.00703,0.00703
35,6774.24,0.45026,0.35754,0.81991,0.85982,0.59655,0.68482,0.55707,0.35122,0.30188,0.78408,0.00694,0.00694,0.00694
36,6966.58,0.44674,0.35575,0.8196,0.86893,0.59397,0.68587,0.55877,0.34853,0.2994,0.78318,0.00685,0.00685,0.00685
37,7158.36,0.44479,0.35454,0.81918,0.86589,0.59628,0.68762,0.56143,0.34792,0.2996,0.78308,0.00676,0.00676,0.00676
38,7349.85,0.44349,0.35327,0.81916,0.86737,0.59544,0.68707,0.56376,0.34572,0.29875,0.78238,0.00667,0.00667,0.00667
39,7542.09,0.44012,0.35043,0.81843,0.86817,0.59647,0.68945,0.56468,0.34438,0.29675,0.78234,0.00658,0.00658,0.00658
40,7734.04,0.4394,0.35089,0.81817,0.86878,0.59752,0.69215,0.56736,0.34267,0.29468,0.78139,0.00649,0.00649,0.00649
41,7925.64,0.43695,0.34901,0.81747,0.86759,0.5973,0.69099,0.5677,0.34138,0.29433,0.78128,0.0064,0.0064,0.0064
42,8117.11,0.43567,0.34782,0.81706,0.86564,0.59965,0.69315,0.56992,0.34054,0.29419,0.7812,0.00631,0.00631,0.00631
43,8308.49,0.43226,0.3462,0.81679,0.86777,0.59941,0.69369,0.57096,0.33964,0.2936,0.78085,0.00622,0.00622,0.00622
44,8499.85,0.43075,0.34494,0.81657,0.86693,0.60063,0.69366,0.57183,0.33851,0.29242,0.7803,0.00613,0.00613,0.00613
45,8691.25,0.43026,0.34447,0.81633,0.86873,0.60013,0.69375,0.57322,0.33746,0.29133,0.77996,0.00604,0.00604,0.00604
46,8883.1,0.42662,0.34306,0.81606,0.87061,0.60051,0.69534,0.57493,0.33563,0.29045,0.7798,0.00595,0.00595,0.00595
