epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,339.153,0.89449,5.65404,0.9576,0.72339,0.48119,0.52644,0.3744,0.65254,3.96991,0.85961,0.000475824,0.000475824,0.000475824
2,674.407,0.73454,4.17526,0.89299,0.68013,0.52922,0.57121,0.41326,0.60475,3.67565,0.8422,0.00090693,0.00090693,0.00090693
3,1008.69,0.69924,3.93736,0.8824,0.74234,0.53062,0.57852,0.41942,0.59938,3.55737,0.8381,0.00129278,0.00129278,0.00129278
4,1341.56,0.66638,3.74878,0.8734,0.74432,0.54001,0.59852,0.43695,0.54368,3.26079,0.82891,0.00122537,0.00122537,0.00122537
5,1673.75,0.636,3.59664,0.86654,0.78708,0.54942,0.6158,0.46006,0.52033,3.13384,0.81784,0.00115749,0.00115749,0.00115749
6,2007.1,0.61271,3.4713,0.86071,0.78054,0.55319,0.62069,0.46652,0.50122,3.03548,0.81308,0.00108961,0.00108961,0.00108961
7,2341.38,0.5921,3.36459,0.85429,0.80073,0.56421,0.63563,0.47613,0.48587,2.96206,0.81058,0.00102173,0.00102173,0.00102173
8,2674.34,0.57516,3.28204,0.8513,0.82105,0.56038,0.63913,0.48513,0.47201,2.89957,0.80627,0.000953857,0.000953857,0.000953857
9,3006.59,0.56442,3.22699,0.84885,0.82508,0.57234,0.64528,0.49455,0.45468,2.79652,0.80379,0.00088598,0.00088598,0.00088598
10,3339.28,0.54824,3.15283,0.84526,0.83904,0.57648,0.65713,0.50599,0.44753,2.75051,0.80023,0.000818102,0.000818102,0.000818102
11,3648.75,0.52713,3.08808,0.83793,0.81986,0.57379,0.64402,0.4905,0.46947,2.86622,0.80698,0.000750225,0.000750225,0.000750225
12,3957.15,0.50878,2.99737,0.83239,0.83091,0.57222,0.64204,0.49556,0.45221,2.80372,0.80271,0.000682347,0.000682347,0.000682347
13,4265.51,0.4962,2.9242,0.82893,0.83993,0.57994,0.64332,0.49969,0.44257,2.71918,0.80084,0.00061447,0.00061447,0.00061447
14,4573.77,0.47935,2.83667,0.8242,0.85191,0.57372,0.64516,0.5044,0.43281,2.67908,0.79739,0.000546592,0.000546592,0.000546592
15,4882.14,0.4695,2.78751,0.82324,0.84339,0.58582,0.65972,0.51718,0.42998,2.66603,0.79709,0.000478715,0.000478715,0.000478715
16,5190.59,0.45862,2.72531,0.81914,0.84997,0.5905,0.66137,0.52195,0.4178,2.59527,0.79461,0.000410837,0.000410837,0.000410837
17,5503.63,0.44774,2.66885,0.81779,0.85812,0.58913,0.66326,0.52072,0.41466,2.58487,0.79173,0.00034296,0.00034296,0.00034296
18,5813.39,0.43631,2.6054,0.81518,0.86985,0.59033,0.66499,0.52608,0.4102,2.53633,0.79093,0.000275083,0.000275083,0.000275083
19,6123.8,0.42495,2.54513,0.81238,0.87359,0.5921,0.66446,0.53073,0.4021,2.5124,0.78913,0.000207205,0.000207205,0.000207205
20,6436.8,0.41329,2.48692,0.80973,0.87613,0.59596,0.67107,0.53683,0.40456,2.5066,0.78868,0.000139328,0.000139328,0.000139328
