epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,203.057,1.01688,1.17926,0.98735,0.56551,0.42938,0.4315,0.28868,0.79443,0.7448,0.90203,0.00333,0.00333,0.00333
2,400.701,0.90271,0.75266,0.92013,0.6537,0.45067,0.48053,0.32802,0.72068,0.64971,0.87625,0.0065314,0.0065314,0.0065314
3,596.648,0.88545,0.69255,0.90969,0.67648,0.47102,0.49786,0.34503,0.68712,0.60659,0.86061,0.0096008,0.0096008,0.0096008
4,791.928,0.81171,0.61663,0.89476,0.71637,0.50174,0.53821,0.38456,0.59117,0.52404,0.84539,0.009406,0.009406,0.009406
5,987.079,0.73722,0.55545,0.87774,0.7274,0.51866,0.55288,0.39185,0.59211,0.48598,0.83727,0.009208,0.009208,0.009208
6,1181.11,0.69419,0.52089,0.86749,0.75964,0.52587,0.57872,0.41674,0.53725,0.45133,0.82688,0.00901,0.00901,0.00901
7,1374.7,0.66101,0.4964,0.85934,0.76773,0.53812,0.59123,0.43028,0.51561,0.44211,0.82293,0.008812,0.008812,0.008812
8,1569.33,0.6393,0.48073,0.85476,0.79061,0.53724,0.60104,0.44546,0.50269,0.442,0.81827,0.008614,0.008614,0.008614
9,1765.41,0.61946,0.46875,0.85063,0.79056,0.55961,0.61754,0.45487,0.4845,0.41382,0.81373,0.008416,0.008416,0.008416
10,1958.86,0.60193,0.45534,0.84751,0.80264,0.56133,0.62288,0.46547,0.48041,0.40377,0.81127,0.008218,0.008218,0.008218
11,2152.22,0.58699,0.44526,0.84433,0.79398,0.55185,0.62032,0.46314,0.47174,0.40688,0.80853,0.00802,0.00802,0.00802
12,2346.52,0.57468,0.43651,0.84244,0.80755,0.5664,0.63159,0.47571,0.46067,0.3905,0.80683,0.007822,0.007822,0.007822
13,2538.99,0.56499,0.4304,0.83988,0.81366,0.56994,0.63914,0.48514,0.44849,0.38441,0.80426,0.007624,0.007624,0.007624
14,2731.32,0.55038,0.4212,0.83783,0.82878,0.5726,0.64606,0.49232,0.43893,0.37104,0.80164,0.007426,0.007426,0.007426
15,2924.87,0.54206,0.41578,0.83583,0.82516,0.57238,0.64462,0.49604,0.43015,0.3649,0.80024,0.007228,0.007228,0.007228
16,3117.22,0.53869,0.41318,0.83566,0.83038,0.57392,0.6515,0.50194,0.42902,0.3627,0.79975,0.00703,0.00703,0.00703
17,3309.67,0.52827,0.40702,0.83391,0.83638,0.57503,0.65466,0.50704,0.4193,0.35719,0.79764,0.006832,0.006832,0.006832
18,3502.37,0.51991,0.40206,0.83183,0.83059,0.57932,0.63392,0.49384,0.41694,0.35272,0.79684,0.006634,0.006634,0.006634
19,3694.88,0.51156,0.39566,0.82966,0.83914,0.57586,0.65813,0.51278,0.41048,0.34668,0.79539,0.006436,0.006436,0.006436
