epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,204.479,1.04484,1.2008,1.00491,0.57547,0.43436,0.43537,0.2915,0.78375,0.74348,0.89655,0.00333,0.00333,0.00333
2,406.61,0.92733,0.7725,0.93414,0.64077,0.43317,0.46994,0.32056,0.708,0.69196,0.88043,0.0065314,0.0065314,0.0065314
3,607.063,0.90761,0.71285,0.92445,0.65691,0.47329,0.49499,0.33821,0.71988,0.59838,0.87386,0.0096008,0.0096008,0.0096008
4,807.088,0.83691,0.63781,0.90657,0.72033,0.49737,0.53434,0.376,0.60079,0.51946,0.84641,0.009406,0.009406,0.009406
5,1006.8,0.76388,0.57591,0.88937,0.71716,0.51761,0.55442,0.3974,0.56596,0.4707,0.83649,0.009208,0.009208,0.009208
6,1206.35,0.72069,0.54151,0.87908,0.75012,0.53359,0.58231,0.42199,0.53571,0.45268,0.82746,0.00901,0.00901,0.00901
7,1406.12,0.68673,0.51692,0.87076,0.7683,0.52545,0.5804,0.42329,0.52582,0.46437,0.82686,0.008812,0.008812,0.008812
8,1605.46,0.66569,0.50182,0.86601,0.7782,0.54508,0.5994,0.43766,0.51334,0.43126,0.82038,0.008614,0.008614,0.008614
9,1804.55,0.64464,0.48649,0.86176,0.79377,0.55323,0.6137,0.45151,0.49756,0.41405,0.81551,0.008416,0.008416,0.008416
10,2004.11,0.62804,0.47426,0.85733,0.79652,0.55949,0.62298,0.46449,0.48838,0.40814,0.81104,0.008218,0.008218,0.008218
11,2204.12,0.61272,0.46486,0.85462,0.78677,0.55455,0.61751,0.46166,0.47781,0.40792,0.81204,0.00802,0.00802,0.00802
12,2403.42,0.6038,0.45745,0.85216,0.80256,0.56146,0.62962,0.47403,0.46723,0.38965,0.80776,0.007822,0.007822,0.007822
13,2602.65,0.58834,0.44735,0.84965,0.80004,0.55969,0.63026,0.47369,0.46764,0.38993,0.80861,0.007624,0.007624,0.007624
14,2801.37,0.5761,0.44052,0.84794,0.81716,0.5697,0.64001,0.48646,0.4461,0.37801,0.80415,0.007426,0.007426,0.007426
15,3000.85,0.56724,0.43345,0.84636,0.82241,0.56779,0.64095,0.4889,0.44158,0.37227,0.80309,0.007228,0.007228,0.007228
16,3200.02,0.56217,0.4322,0.84457,0.83483,0.57644,0.65336,0.49856,0.43819,0.36436,0.80088,0.00703,0.00703,0.00703
17,3399.45,0.55297,0.42524,0.84343,0.8329,0.57796,0.65621,0.50638,0.42654,0.3611,0.79931,0.006832,0.006832,0.006832
18,3598.99,0.54438,0.41958,0.84095,0.82969,0.58007,0.65448,0.50689,0.42135,0.35423,0.79759,0.006634,0.006634,0.006634
19,3803.21,0.54046,0.41684,0.84065,0.83859,0.58016,0.65939,0.51273,0.4139,0.35227,0.79615,0.006436,0.006436,0.006436
20,4004.99,0.5309,0.41111,0.83776,0.83369,0.5822,0.65796,0.51581,0.40955,0.34705,0.79448,0.006238,0.006238,0.006238
21,4207.76,0.5263,0.40751,0.83726,0.8408,0.58237,0.65817,0.51617,0.40949,0.34566,0.7945,0.00604,0.00604,0.00604
22,4410.27,0.51834,0.40376,0.83653,0.84198,0.58155,0.66372,0.52002,0.40175,0.3419,0.79337,0.005842,0.005842,0.005842
23,4609.83,0.51386,0.40075,0.83552,0.83846,0.5856,0.66694,0.52479,0.39744,0.33883,0.79187,0.005644,0.005644,0.005644
24,4809.78,0.50767,0.39729,0.835,0.84438,0.58602,0.66879,0.52874,0.3914,0.33288,0.79149,0.005446,0.005446,0.005446
25,5009.73,0.50277,0.39457,0.83373,0.84403,0.58789,0.6707,0.53204,0.38683,0.33288,0.79057,0.005248,0.005248,0.005248
26,5209.48,0.49893,0.39151,0.83252,0.84751,0.59026,0.67145,0.53282,0.3831,0.32788,0.78998,0.00505,0.00505,0.00505
27,5409.06,0.49372,0.38876,0.83147,0.85431,0.58862,0.67688,0.53945,0.37858,0.32529,0.78931,0.004852,0.004852,0.004852
28,5609.12,0.48846,0.38538,0.83072,0.84663,0.59028,0.67759,0.54015,0.37559,0.32387,0.78808,0.004654,0.004654,0.004654
29,5809.38,0.48289,0.38279,0.83005,0.84682,0.59193,0.67767,0.54157,0.37248,0.32193,0.78737,0.004456,0.004456,0.004456
30,6010.41,0.47987,0.37998,0.82912,0.84914,0.59278,0.67863,0.54357,0.36953,0.31914,0.78645,0.004258,0.004258,0.004258
31,6210.1,0.47525,0.37807,0.82899,0.86043,0.59239,0.67915,0.54655,0.36716,0.31809,0.78608,0.00406,0.00406,0.00406
32,6410.39,0.4724,0.37555,0.82773,0.85989,0.59472,0.68259,0.54873,0.36596,0.31578,0.78559,0.003862,0.003862,0.003862
33,6610.74,0.46733,0.37274,0.82657,0.86184,0.59218,0.68293,0.55144,0.36238,0.31379,0.78491,0.003664,0.003664,0.003664
34,6811.43,0.46432,0.37059,0.82671,0.85482,0.59607,0.68529,0.55423,0.36095,0.31284,0.78419,0.003466,0.003466,0.003466
35,7010.59,0.45966,0.36729,0.82538,0.85271,0.59594,0.68266,0.55411,0.35856,0.31158,0.78395,0.003268,0.003268,0.003268
36,7210.93,0.4543,0.36371,0.82377,0.86017,0.5965,0.68452,0.55554,0.35736,0.30988,0.78319,0.00307,0.00307,0.00307
